name,mode,type,description
d_407743866,NULLABLE,STRING,407743866
d_613641698,NULLABLE,STRING,613641698
d_826240317,NULLABLE,STRING,826240317
d_577794331,NULLABLE,INTEGER,577794331
d_715390138,NULLABLE,STRING,715390138
d_635101039,NULLABLE,STRING,635101039
d_534669573,NULLABLE,STRING,534669573
d_764863765,NULLABLE,STRING,764863765
d_161366008,NULLABLE,STRING,161366008
d_719222792,NULLABLE,RECORD,719222792
d_726389747,NULLABLE,INTEGER,726389747
d_714419972,NULLABLE,STRING,714419972
D_726699695_V2,NULLABLE,RECORD,D_726699695_V2
d_524352591,NULLABLE,RECORD,524352591
d_982105411,NULLABLE,STRING,982105411
d_756862764,NULLABLE,STRING,756862764
d_304438543,NULLABLE,STRING,304438543
d_744604255,NULLABLE,STRING,744604255
d_104278817,NULLABLE,STRING,104278817
d_592227431,NULLABLE,STRING,592227431
d_119449326,NULLABLE,STRING,119449326
d_268665918,NULLABLE,STRING,268665918
d_883668444,NULLABLE,INTEGER,883668444
d_603278289,NULLABLE,RECORD,603278289
d_614264509,NULLABLE,STRING,614264509
d_175506524,NULLABLE,RECORD,175506524
Module2,NULLABLE,RECORD,Module2
d_297147359,NULLABLE,RECORD,297147359
d_262357957,NULLABLE,STRING,262357957
d_808663245,NULLABLE,STRING,808663245
d_711256590,NULLABLE,STRING,711256590
d_390198398,NULLABLE,STRING,390198398
D_299215535,NULLABLE,RECORD,D_299215535
d_657475009,NULLABLE,STRING,657475009
__key__,NULLABLE,RECORD,
__error__,REPEATED,STRING,
__has_error__,NULLABLE,BOOLEAN,
state.d_521025370,NULLABLE,STRING,521025370
state.d_158291096,NULLABLE,INTEGER,158291096
state.studyId,NULLABLE,RECORD,studyId
state.studyId.integer,NULLABLE,INTEGER,
state.studyId.string,NULLABLE,STRING,
state.studyId.provided,NULLABLE,STRING,
state.d_875549268,NULLABLE,INTEGER,875549268
state.d_706283025,NULLABLE,RECORD,706283025
state.d_706283025.d_705732561,NULLABLE,INTEGER,705732561
state.d_706283025.d_873405723,NULLABLE,INTEGER,873405723
state.d_706283025.d_771146804,NULLABLE,INTEGER,771146804
state.d_706283025.d_163534562,NULLABLE,INTEGER,163534562
state.d_706283025.d_381509125,NULLABLE,INTEGER,381509125
state.d_706283025.d_496935183,NULLABLE,INTEGER,496935183
state.d_706283025.d_579618065,NULLABLE,INTEGER,579618065
state.d_706283025.d_400259098,NULLABLE,INTEGER,400259098
state.d_706283025.d_566047367,NULLABLE,INTEGER,566047367
state.d_706283025.d_163284008,NULLABLE,INTEGER,163284008
state.d_706283025.d_405352246,NULLABLE,INTEGER,405352246
state.d_706283025.d_836460125,NULLABLE,INTEGER,836460125
state.d_706283025.d_415693436,NULLABLE,STRING,415693436
state.d_706283025.d_897366187,NULLABLE,INTEGER,897366187
state.d_706283025.d_387198193,NULLABLE,INTEGER,387198193
state.d_706283025.d_627995442,NULLABLE,INTEGER,627995442
state.d_706283025.d_208102461,NULLABLE,INTEGER,208102461
state.d_706283025.d_831137710,NULLABLE,INTEGER,831137710
state.d_706283025.d_755545718,NULLABLE,INTEGER,755545718
state.d_706283025.d_535928798,NULLABLE,INTEGER,535928798
state.d_706283025.d_950040334,NULLABLE,INTEGER,950040334
state.d_706283025.d_719451909,NULLABLE,INTEGER,719451909
state.d_706283025.d_377633816,NULLABLE,INTEGER,377633816
state.d_706283025.d_209509101,NULLABLE,INTEGER,209509101
state.d_706283025.d_497530905,NULLABLE,INTEGER,497530905
state.d_706283025.d_517101990,NULLABLE,INTEGER,517101990
state.d_706283025.d_363026564,NULLABLE,INTEGER,363026564
state.d_706283025.d_196038514,NULLABLE,INTEGER,196038514
state.d_706283025.d_491099823,NULLABLE,INTEGER,491099823
state.d_706283025.d_744197145,NULLABLE,INTEGER,744197145
state.d_706283025.d_347614743,NULLABLE,INTEGER,347614743
state.d_706283025.d_331787113,NULLABLE,INTEGER,331787113
state.d_706283025.d_260703126,NULLABLE,INTEGER,260703126
state.d_706283025.d_211023960,NULLABLE,INTEGER,211023960
state.d_706283025.d_702433259,NULLABLE,INTEGER,702433259
state.d_706283025.__key__,NULLABLE,RECORD,
state.d_706283025.__key__.namespace,NULLABLE,STRING,
state.d_706283025.__key__.app,NULLABLE,STRING,
state.d_706283025.__key__.path,NULLABLE,STRING,
state.d_706283025.__key__.kind,NULLABLE,STRING,
state.d_706283025.__key__.name,NULLABLE,STRING,
state.d_706283025.__key__.id,NULLABLE,INTEGER,
state.uid,NULLABLE,STRING,uid
state.d_706256705,NULLABLE,INTEGER,706256705
state.d_934298480,NULLABLE,INTEGER,934298480
state.d_667474224,NULLABLE,INTEGER,667474224
state.d_749475364,NULLABLE,STRING,749475364
state.d_477091792,NULLABLE,INTEGER,477091792
state.d_849518448,NULLABLE,INTEGER,849518448
state.d_435027713,NULLABLE,INTEGER,435027713
state.d_684926335,NULLABLE,INTEGER,684926335
state.d_527823810,NULLABLE,INTEGER,527823810
state.d_119643471,NULLABLE,INTEGER,119643471
state.d_538553381,NULLABLE,INTEGER,538553381
state.d_547895941,NULLABLE,INTEGER,547895941
state.d_147176963,NULLABLE,INTEGER,147176963
state.d_953614051,NULLABLE,INTEGER,953614051
state.d_629484663,NULLABLE,INTEGER,629484663
state.d_793822265,NULLABLE,INTEGER,793822265
state.d_557461333,NULLABLE,INTEGER,557461333
