"name","mode","type"
"D_890637099_10_10","NULLABLE","STRING"
"D_607773106_10_10","NULLABLE","STRING"
"D_406098499_11_11","NULLABLE","STRING"
"D_579563781_11_11","NULLABLE","STRING"
"D_589588769_11_11","NULLABLE","STRING"
"D_890637099_11_11","NULLABLE","STRING"
"D_607773106_11_11","NULLABLE","STRING"
"D_807431780_1_1","NULLABLE","STRING"
"D_807431780_2_2","NULLABLE","STRING"
"D_807431780_3_3","NULLABLE","STRING"
"D_807431780_4_4","NULLABLE","STRING"
"D_807431780_5_5","NULLABLE","STRING"
"D_807431780_6_6","NULLABLE","STRING"
"D_714001034_5_5","NULLABLE","STRING"
"D_473529484_5_5","NULLABLE","STRING"
"D_418392907_5_5","NULLABLE","STRING"
"D_873968217_5_5","NULLABLE","STRING"
"D_887697329_5_5","NULLABLE","STRING"
"D_718867914_5_5","NULLABLE","STRING"
"D_107060069","NULLABLE","STRING"
"D_714001034_6_6","NULLABLE","STRING"
"D_887697329_6_6","NULLABLE","STRING"
"D_473529484_6_6","NULLABLE","STRING"
"D_873968217_6_6","NULLABLE","STRING"
"D_418392907_6_6","NULLABLE","STRING"
"D_718867914_6_6","NULLABLE","STRING"
"D_714001034_7_7","NULLABLE","STRING"
"D_887697329_7_7","NULLABLE","STRING"
"D_473529484_7_7","NULLABLE","STRING"
"D_873968217_7_7","NULLABLE","STRING"
"D_418392907_7_7","NULLABLE","STRING"
"D_718867914_7_7","NULLABLE","STRING"
"D_803129396","NULLABLE","STRING"
"D_406098499_12_12","NULLABLE","STRING"
"D_579563781_12_12","NULLABLE","STRING"
"D_589588769_12_12","NULLABLE","STRING"
"D_890637099_12_12","NULLABLE","STRING"
"D_607773106_12_12","NULLABLE","STRING"
"D_406098499_13_13","NULLABLE","STRING"
"D_579563781_13_13","NULLABLE","STRING"
"D_589588769_13_13","NULLABLE","STRING"
"D_890637099_13_13","NULLABLE","STRING"
"D_607773106_13_13","NULLABLE","STRING"
"D_406098499_14_14","NULLABLE","STRING"
"D_579563781_14_14","NULLABLE","STRING"
"D_589588769_14_14","NULLABLE","STRING"
"D_890637099_14_14","NULLABLE","STRING"
"D_607773106_14_14","NULLABLE","STRING"
"D_406098499_15_15","NULLABLE","STRING"
"D_579563781_15_15","NULLABLE","STRING"
"D_589588769_15_15","NULLABLE","STRING"
"D_890637099_15_15","NULLABLE","STRING"
"D_607773106_15_15","NULLABLE","STRING"
"D_406098499_16_16","NULLABLE","STRING"
"D_579563781_16_16","NULLABLE","STRING"
"D_589588769_16_16","NULLABLE","STRING"
"D_890637099_16_16","NULLABLE","STRING"
"D_607773106_16_16","NULLABLE","STRING"
"D_406098499_17_17","NULLABLE","STRING"
"D_579563781_17_17","NULLABLE","STRING"
"D_589588769_17_17","NULLABLE","STRING"
"D_890637099_17_17","NULLABLE","STRING"
"D_607773106_17_17","NULLABLE","STRING"
"D_406098499_18_18","NULLABLE","STRING"
"D_579563781_18_18","NULLABLE","STRING"
"D_589588769_18_18","NULLABLE","STRING"
"D_890637099_18_18","NULLABLE","STRING"
"D_607773106_18_18","NULLABLE","STRING"
"D_406098499_19_19","NULLABLE","STRING"
"D_579563781_19_19","NULLABLE","STRING"
"D_589588769_19_19","NULLABLE","STRING"
"D_890637099_19_19","NULLABLE","STRING"
