fullname
notification
uid	
read	
notificationSpecificationsID
id	
notificationType
category
attempt
email
token	
delivered_status
delivered_timestamp
delivered_date
processed_timestamp
processed_date
processed_status
phone
messageSid
queued_date
sent_date
status
notificationId
dropped_date
dropped_status
dropped_timestamp
dropped_reason
open_status
open_date
open_timestamp
error_message
error_code
deferred_status
deferred_timestamp
deferred_date
bounce_timestamp
bounce_status
bounce_date
bounce_reason
accepted_date
unsubscribe_status
unsubscribe_date
unsubscribe_timestamp
failedDate
errorMessage
errorCode
deliveredDate
notification.time
notification.title
notification.body	
