description,mode,name,type
D_411788467,NULLABLE,D_411788467,STRING
D_141251197,NULLABLE,D_141251197,STRING
D_262305264,REPEATED,D_262305264,STRING
D_214750556,NULLABLE,D_214750556,STRING
D_621878019,NULLABLE,D_621878019,STRING
D_820694957,NULLABLE,D_820694957,STRING
D_195662769,NULLABLE,D_195662769,STRING
D_214870856,NULLABLE,D_214870856,STRING
D_680730257,NULLABLE,D_680730257,STRING
D_392874924,NULLABLE,D_392874924,STRING
D_376720409,NULLABLE,D_376720409,STRING
D_575646308,NULLABLE,D_575646308,STRING
D_655266993,REPEATED,D_655266993,STRING
D_163057677,NULLABLE,D_163057677,STRING
D_225047594,NULLABLE,D_225047594,STRING
D_450131058,NULLABLE,D_450131058,STRING
D_991873978,NULLABLE,D_991873978,STRING
D_297084062,NULLABLE,D_297084062,STRING
D_404596261,NULLABLE,D_404596261,STRING
D_465017353,NULLABLE,D_465017353,STRING
D_370798456,NULLABLE,D_370798456,STRING
D_968816827_5_5,NULLABLE,D_968816827_5_5,STRING
D_391951010_5_5,NULLABLE,D_391951010_5_5,STRING
D_771528780_5_5,NULLABLE,D_771528780_5_5,STRING
D_486574018_5_5,NULLABLE,D_486574018_5_5,STRING
D_779052408_5_5,NULLABLE,D_779052408_5_5,STRING
D_133297530_5_5,NULLABLE,D_133297530_5_5,STRING
D_938969985,NULLABLE,D_938969985,STRING
D_876683805,NULLABLE,D_876683805,STRING
D_118237712,NULLABLE,D_118237712,STRING
D_902999015,NULLABLE,D_902999015,STRING
D_484006644,NULLABLE,D_484006644,STRING
D_858525957,REPEATED,D_858525957,STRING
D_849399881,NULLABLE,D_849399881,STRING
D_406846149,NULLABLE,D_406846149,STRING
D_556235252,NULLABLE,D_556235252,STRING
D_270254670,NULLABLE,D_270254670,STRING
D_167966775,NULLABLE,D_167966775,STRING
D_799903478,NULLABLE,D_799903478,STRING
D_630231395,REPEATED,D_630231395,STRING
D_465635548,NULLABLE,D_465635548,STRING
D_149884127,REPEATED,D_149884127,STRING
D_904844824,NULLABLE,D_904844824,STRING
D_861824298,NULLABLE,D_861824298,STRING
D_946849196,REPEATED,D_946849196,STRING
D_414663452,NULLABLE,D_414663452,STRING
D_797076693,NULLABLE,D_797076693,STRING
D_792792066,NULLABLE,D_792792066,STRING
D_291707744,NULLABLE,D_291707744,STRING
D_984514646,NULLABLE,D_984514646,STRING
D_894363067,NULLABLE,D_894363067,STRING
D_846978339,NULLABLE,D_846978339,STRING
D_845164425,REPEATED,D_845164425,STRING
D_991330361,NULLABLE,D_991330361,STRING
D_650405110,NULLABLE,D_650405110,STRING
D_368595692,NULLABLE,D_368595692,STRING
D_278277373_5_5,NULLABLE,D_278277373_5_5,STRING
D_187772368,REPEATED,D_187772368,STRING
D_865200503,NULLABLE,D_865200503,STRING
D_831643763,NULLABLE,D_831643763,STRING
D_612068433,NULLABLE,D_612068433,STRING
D_583012139,NULLABLE,D_583012139,STRING
D_774514900,NULLABLE,D_774514900,STRING
D_378572291,NULLABLE,D_378572291,STRING
D_184692605,NULLABLE,D_184692605,STRING
D_371748514,REPEATED,D_371748514,STRING
D_944699052,NULLABLE,D_944699052,STRING
D_658018390,NULLABLE,D_658018390,STRING
D_887435355,REPEATED,D_887435355,STRING
D_737490587,NULLABLE,D_737490587,STRING
D_445571225,NULLABLE,D_445571225,STRING
D_761822652,NULLABLE,D_761822652,STRING
D_497904005,NULLABLE,D_497904005,STRING
D_219538082,NULLABLE,D_219538082,STRING
D_583111732,NULLABLE,D_583111732,STRING
D_603209609,NULLABLE,D_603209609,STRING
D_290126991,NULLABLE,D_290126991,STRING
D_798182168,NULLABLE,D_798182168,STRING
D_184448791,NULLABLE,D_184448791,STRING
